OrderID,UserID,TableNumber,WaiterID,OrderDateTime,ItemsOrdered,NumberOfGuests,BillAmount,PaymentMethod,DiscountUsed,WaitTime,Tip,CustomerSatisfaction
O0001,U040,5,W005,1/6/2025 13:38,"[Water,Soup,Pizza]",3,41.34,CreditCard,Yes,14,2.94,Neutral
O0002,U028,7,W005,1/5/2025 3:03,"[Fries,Soup]",1,44.18,PayPal,No,18,5.49,Satisfied
O0003,U011,4,W003,1/2/2025 1:12,"[Bread,Beer,Soup,Coke]",5,60.16,Cash,Yes,49,4.72,Neutral
O0004,U023,5,W007,1/8/2025 22:41,"[Salad,Fries]",1,40.75,Cash,Yes,42,6.4,Satisfied
O0005,U047,2,W003,1/1/2025 18:21,"[Soup,Burger,Pasta,Bread]",1,71.96,Cash,No,58,10.14,Satisfied
O0006,U011,2,W006,1/6/2025 21:43,"[Burger,Salad]",4,33.28,PayPal,Yes,15,0,Unsatisfied
O0007,U044,10,W003,1/5/2025 16:15,"[Juice,Pizza,Pasta,Water,Salad]",2,92.57,PayPal,Yes,29,14.35,Satisfied
O0008,U044,2,W005,1/3/2025 22:05,[Wine],4,35.06,PayPal,Yes,29,5.49,Satisfied
O0009,U009,1,W003,1/4/2025 11:30,[Salad],5,33.56,Cash,No,49,0,Unsatisfied
O0010,U017,7,W004,1/8/2025 6:22,"[Fries,Pasta]",1,43.85,CreditCard,Yes,49,0,Unsatisfied
O0011,U023,3,W008,1/7/2025 10:39,[Coke],4,25.42,CreditCard,Yes,59,1.34,Neutral
O0012,U009,8,W010,1/1/2025 11:23,"[Juice,Coke]",2,27.01,CreditCard,No,47,0.53,Neutral
O0013,U005,7,W001,1/6/2025 20:41,"[Water,Beer,Juice,Pasta,Fries]",3,139.52,CreditCard,Yes,5,8.24,Neutral
O0014,U014,9,W002,1/8/2025 14:39,"[Beer,Bread]",5,68.54,PayPal,Yes,15,2.41,Neutral
O0015,U003,5,W009,1/10/2025 6:49,"[Pasta,Soup,Juice,Fries,Burger]",1,139.81,CreditCard,No,41,13.56,Satisfied
O0016,U032,3,W003,1/6/2025 22:46,[Beer],4,35.03,CreditCard,No,20,0,Unsatisfied
O0017,U012,5,W005,1/5/2025 15:56,[Coke],1,14.75,CreditCard,Yes,50,0,Unsatisfied
O0018,U027,3,W010,1/5/2025 9:38,"[Soup,Pizza]",3,57,Cash,Yes,21,3.97,Satisfied
O0019,U035,3,W009,1/10/2025 1:07,[Bread],6,39.54,Cash,No,38,3.29,Neutral
O0020,U048,6,W008,1/10/2025 19:37,"[Coke,Water]",2,58.89,CreditCard,Yes,36,2.11,Neutral
O0021,U006,1,W001,1/9/2025 10:47,"[Fries,Beer,Coke,Pizza]",5,79.86,CreditCard,Yes,17,6.46,Satisfied
O0022,U035,6,W002,1/5/2025 17:40,"[Bread,Pasta,Water]",5,66.95,PayPal,Yes,29,0,Unsatisfied
O0023,U028,6,W010,1/2/2025 10:14,"[Water,Steak,Fries]",2,42.37,Cash,No,33,2.51,Neutral
O0024,U007,3,W006,1/9/2025 18:39,"[Pizza,Pasta,Beer,Salad]",5,98.06,CreditCard,No,39,0,Unsatisfied
O0025,U029,6,W004,1/7/2025 9:51,"[Steak,Beer,Soup,Water,Fries]",4,134.42,CreditCard,No,32,16.03,Satisfied
O0026,U020,7,W002,1/1/2025 11:14,"[Fries,Water,Pasta]",6,100.75,PayPal,No,30,3.68,Neutral
O0027,U041,9,W002,1/9/2025 8:32,"[Steak,Salad,Juice,Burger,Coke]",6,143.69,CreditCard,No,30,8.66,Satisfied
O0028,U037,7,W003,1/6/2025 11:16,"[Juice,Wine,Bread,Coke]",6,64.22,Cash,Yes,46,6.07,Satisfied
O0029,U018,4,W002,1/1/2025 20:05,"[Beer,Fries,Bread]",5,81.83,CreditCard,No,7,0,Unsatisfied
O0030,U040,8,W001,1/7/2025 19:12,"[Bread,Soup,Pizza]",5,53.4,PayPal,Yes,47,9.96,Satisfied
O0031,U033,5,W010,1/2/2025 0:45,"[Pasta,Steak,Bread,Beer]",4,103.29,PayPal,No,25,0,Unsatisfied
O0032,U028,1,W008,1/9/2025 18:32,"[Pizza,Soup]",3,48.92,PayPal,Yes,11,1.73,Neutral
O0033,U009,1,W007,1/3/2025 18:56,"[Soup,Steak,Pasta,Coke,Juice]",1,115.81,Cash,No,30,9.34,Neutral
O0034,U016,5,W007,1/4/2025 5:16,"[Burger,Pasta,Wine]",6,44.44,Cash,Yes,10,0,Unsatisfied
O0035,U033,5,W004,1/4/2025 9:54,[Burger],3,24.1,Cash,Yes,37,1.92,Neutral
O0036,U028,6,W003,1/3/2025 3:02,"[Steak,Salad,Burger,Beer]",4,82.87,CreditCard,Yes,32,5.75,Satisfied
O0037,U003,6,W006,1/9/2025 1:23,"[Steak,Burger]",1,43.94,PayPal,Yes,8,1.91,Neutral
O0038,U012,10,W007,1/1/2025 22:38,"[Pasta,Salad,Fries]",6,49.79,PayPal,Yes,50,2.83,Satisfied
O0039,U047,4,W001,1/8/2025 22:26,[Water],1,18.02,Cash,No,38,1.08,Neutral
O0040,U021,6,W010,1/9/2025 22:45,"[Salad,Burger]",3,47.16,PayPal,Yes,8,3.33,Satisfied
O0041,U047,10,W009,1/4/2025 0:22,"[Beer,Water,Bread,Juice,Pasta]",6,88.77,PayPal,Yes,44,0,Unsatisfied
O0042,U011,1,W006,1/6/2025 23:16,"[Pasta,Bread,Salad]",1,66.69,PayPal,No,41,1.88,Neutral
O0043,U001,10,W010,1/1/2025 16:14,"[Pizza,Burger,Soup,Bread,Wine]",6,105.15,CreditCard,No,24,0,Unsatisfied
O0044,U035,9,W002,1/6/2025 6:32,"[Pizza,Juice,Fries]",3,52.22,PayPal,Yes,36,2.12,Neutral
O0045,U003,4,W006,1/8/2025 14:39,"[Juice,Fries,Burger,Coke,Pasta]",4,54.16,PayPal,Yes,17,8.22,Satisfied
O0046,U041,7,W004,1/7/2025 5:02,"[Pasta,Salad,Steak,Juice]",2,108.15,PayPal,Yes,54,6.61,Satisfied
O0047,U024,1,W001,1/1/2025 16:19,[Fries],3,26.31,Cash,No,38,0.27,Neutral
O0048,U026,7,W006,1/2/2025 9:28,"[Water,Beer,Burger,Fries,Steak]",6,121.14,PayPal,Yes,35,5.76,Neutral
O0049,U031,1,W003,1/8/2025 19:47,"[Burger,Steak]",5,48.35,Cash,Yes,41,6.76,Satisfied
O0050,U016,10,W009,1/9/2025 0:17,"[Soup,Beer,Salad,Coke,Water]",3,109.91,Cash,Yes,36,2.24,Neutral
O0051,U028,7,W006,1/7/2025 11:50,"[Coke,Wine,Pasta,Juice]",2,83.79,PayPal,Yes,60,4.51,Neutral
O0052,U034,6,W004,1/1/2025 19:21,"[Fries,Juice,Bread,Coke]",6,116.07,Cash,No,7,0,Unsatisfied
O0053,U007,2,W007,1/8/2025 15:04,"[Wine,Bread,Pasta,Fries]",5,110.88,PayPal,Yes,43,0,Unsatisfied
O0054,U049,9,W006,1/7/2025 23:15,[Coke],3,31.53,Cash,No,30,0,Unsatisfied
O0055,U031,7,W005,1/6/2025 5:55,"[Burger,Wine,Pizza,Pasta,Coke]",5,97.48,CreditCard,No,46,18.98,Satisfied
O0056,U012,9,W009,1/10/2025 6:26,"[Water,Wine,Soup,Coke]",5,124.18,CreditCard,Yes,20,10.71,Neutral
O0057,U024,2,W004,1/5/2025 3:55,"[Juice,Steak,Bread]",6,103.85,CreditCard,No,29,16.99,Satisfied
O0058,U030,5,W008,1/5/2025 23:33,[Bread],4,37.12,Cash,No,41,4.2,Satisfied
O0059,U004,1,W008,1/2/2025 20:22,"[Burger,Pizza,Juice]",6,94.94,CreditCard,No,39,4.47,Neutral
O0060,U033,2,W007,1/8/2025 14:19,[Pizza],1,16.96,CreditCard,Yes,60,2.9,Satisfied
O0061,U037,7,W009,1/8/2025 11:36,"[Coke,Pizza,Water,Wine,Steak]",1,132.27,CreditCard,No,42,0,Unsatisfied
O0062,U027,5,W008,1/4/2025 9:53,"[Beer,Soup,Burger,Steak]",4,106.92,CreditCard,No,41,4.65,Neutral
O0063,U010,4,W007,1/3/2025 1:38,"[Fries,Soup]",3,58.73,PayPal,Yes,52,8.12,Satisfied
O0064,U037,8,W007,1/5/2025 12:10,"[Burger,Bread,Beer]",5,81.02,Cash,Yes,57,5.01,Neutral
O0065,U027,8,W003,1/9/2025 1:41,"[Beer,Steak,Salad,Soup]",3,57.48,Cash,No,41,5.35,Neutral
